,Line_Lyrics
0,one one one one one
1,talkin in my sleep at night makin myself crazy
2,wrote it down and read it out hopin it would save me
3,my love he makes me feel like nobody else nobody else
4,but my love he doesnt love me so i tell myself i tell myself
5,one dont pick up the phone
6,you know hes only callin cause hes drunk and alone
7,two dont let him in
8,youll have to kick him out again
9,three dont be his friend
10,you know youre gonna wake up in his bed in the morning
11,and if youre under him you aint gettin over him
12,i got new rules i count em
13,i got new rules i count em
14,i gotta tell them to myself
15,i got new rules i count em
16,i gotta tell them to myself
17,i keep pushin forwards but he keeps pullin me backwards
18,now im standin back from it i finally see the pattern
19,but my love he doesnt love me so i tell myself i tell myself
20,i do i do i do
21,one dont pick up the phone
22,you know hes only callin cause hes drunk and alone
23,two dont let him in
24,youll have to kick him out again
25,three dont be his friend
26,you know youre gonna wake up in his bed in the morning
27,and if youre under him you aint gettin over him
28,i got new rules i count em
29,i got new rules i count em
30,i gotta tell them to myself
31,i got new rules i count em
32,i gotta tell them to myself
33,practice makes perfect
34,im still tryna learn it by heart 
35,eat sleep and breathe it
36,rehearse and repeat it cause i 
37,one dont pick up the phone 
38,you know hes only callin cause hes drunk and alone 
39,two dont let him in 
40,youll have to kick him out again 
41,three dont be his friend
42,you know youre gonna wake up in his bed in the morning
43,and if youre under him you aint gettin over him
44,i got new rules i count em
45,i got new rules i count em
46,i gotta tell them to myself
47,i got new rules i count em
48,i gotta tell them to myself
49,dont let him in dont let him in
50,dont dont dont dont
51,dont be his friend dont be his friend
52,dont dont dont dont
53,dont let him in dont let him in
54,dont dont dont dont
55,dont be his friend dont be his friend
56,dont dont dont dont
57,youre gettin over him
58,it was great at the very start
59,hands on each other
60,couldnt stand to be far apart
61,closer the better
62,now were picking fights and slamming doors
63,magnifying all our flaws
64,and i wonder why wonder what for
65,why we keep coming back for more
66,is it just our bodies are we both losing our minds 
67,is the only reason youre holding me tonight
68,cause were scared to be lonely 
69,do we need somebody just to feel like were alright 
70,is the only reason youre holding me tonight
71,cause were scared to be lonely 
72,too much time losing track of us
73,where was the real 
74,undefined spiraling out of touch
75,forgot how it feels
76,all the messed up fights and slamming doors
77,magnifying all our flaws
78,and i wonder why wonder what for
79,its like we keep coming back for more
80,is it just our bodies are we both losing our minds 
81,is the only reason youre holding me tonight
82,cause were scared to be lonely 
83,do we need somebody just to feel like were alright 
84,is the only reason youre holding me tonight
85,cause were scared to be lonely 
86,scared to be lonely ooh ooh ooh
87,even when we know its wrong
88,and somebody better for us all along
89,tell me how can we keep holding on 
90,holding on tonight cause were scared to be lonely
91,even when we know its wrong
92,and somebody better for us all along
93,tell me how can we keep holding on 
94,holding on tonight cause were scared to be lonely
95,is it just our bodies are we both losing our minds 
96,is the only reason youre holding me tonight
97,cause were scared to be lonely 
98,scared to be lonely
99,scared to be lonely ooh ooh
100,eh eh scared to be lonely
101,if you dont wanna see me
102,did a full one eighty crazy
103,thinking bout the way i was
104,did the heartbreak change me maybe
105,but look at where i ended up
106,im all good already
107,so moved on its scary
108,im not where you left me at all so
109,if you dont wanna see me dancing with somebody
110,if you wanna believe that anything could stop me
111,dont show up dont come out
112,dont start caring about me now
113,walk away you know how
114,dont start caring about me now
115,arent you the guy who tried to
116,hurt me with the word goodbye 
117,though it took some time to survive you
118,im better on the other side
119,im all good already
120,so moved on its scary
121,im not where you left me at all so
122,if you dont wanna see me dancing with somebody
123,if you wanna believe that anything could stop me
124,dont show up dont come out
125,dont start caring about me now
126,walk away you know how
127,dont start caring about me now 
128,up up
129,dont come out out out
130,dont show up up up
131,dont start now 
132,up up
133,dont come out out
134,im not where you left me at all so
135,if you dont wanna see me dancing with somebody
136,if you wanna believe that anything could stop me
137,dont show up dont come out 
138,dont start caring about me now 
139,walk away you know how 
140,dont start caring about me now 
141,up up
142,dont come out out out
143,dont show up up up
144,walk away walk away 
145,up up
146,dont come out out out
147,dont show up up up
148,walk away walk away oh
149,you call me all friendly
150,tellin me how much you miss me
151,thats funny i guess youve heard my songs
152,well im too busy for your business
153,go find a girl who wants to listen
154,cause if you think i was born yesterday you have got me wrong
155,so i cut you off
156,i dont need your love
157,cause i already cried enough
158,ive been done
159,ive been movin on since we said goodbye
160,i cut you off
161,i dont need your love
162,so you can try all you want
163,your time is up ill tell you why
164,you say youre sorry but its too late now
165,so save it get gone shut up
166,cause if you think i care about you now
167,well boy i dont give a fuck
168,i remember that weekend
169,when my best friend caught you creepin
170,you blamed it all on the alcohol
171,so i made my decision
172,cause you made your bed sleep in it
173,play the victim and switch your position
174,im through im done
175,so i cut you off
176,i dont need your love
177,cause i already cried enough
178,ive been done
179,ive been movin on since we said goodbye
180,i cut you off
181,i dont need your love
182,so you can try all you want
183,your time is up ill tell you why
184,you say youre sorry but its too late now
185,so save it get gone shut up
186,cause if you think i care about you now
187,well boy i dont give a fuck
188,i see you tryna get to me
189,i see you beggin on your knees
190,boy i dont give a fuck
191,so stop tryna get to me
192,tch get up off your knees
193,cause boy i dont give a fuck
194,about you
195,no i dont give a damn
196,you keep reminiscin on when you were my man
197,but im over you
198,now youre all in the past
199,you talk all that sweet talk but i aint comin back
200,cut you off
201,i dont need your love
202,so you can try all you want
203,your time is up ill tell you why
204,ill tell you why
205,you say youre sorry but its too late now
206,so save it get gone shut up
207,cause if you think i care about you now
208,well boy i dont give a fuck
209,i see you tryna get to me
210,i see you beggin on your knees
211,boy i dont give a fuck
212,so stop tryna get to me 
213,tch get up off your knees
214,cause boy i dont give a fuck
215,one kiss is all it takes
216,fallin in love with me
217,possibilities
218,i look like all you need
219,let me take the night i love real easy
220,and i know that youll still wanna see me
221,on the sunday morning music real loud
222,let me love you while the moon is still out
223,something in you ou ou lit up heaven in me e e
224,the feeling wont let me slee ee eep
225,cause im lost in the way you move the way you feel
226,one kiss is all it takes
227,fallin in love with me
228,possibilities
229,i look like all you need
230,one kiss is all it takes
231,fallin in love with me
232,possibilities
233,i look like all you need
234,one
235,one
236,one
237,one
238,i just wanna feel your skin on mine
239,feel your eyes do the exploring
240,passion in the message when you smile
241,take my time
242,something in you ou ou lit up heaven in me e e
243,the feeling wont let me slee ee eep
244,cause im lost in the way you move the way you feel
245,one kiss is all it takes
246,fallin in love with me
247,possibilities
248,i look like all you need
249,one kiss is all it takes
250,fallin in love with me
251,possibilities
252,i look like all you need
253,one
254,one
255,one
256,one
257,see a wonderland in your eyes
258,might need your company tonight
259,something in you ou ou lit up heaven in me e e
260,the feeling wont let me slee ee eep
261,cause im lost in the way you move the way you feel
262,one kiss is all it takes
263,fallin in love with me
264,possibilities
265,i look like all you need
266,one kiss is all it takes
267,fallin in love with me
268,possibilities
269,i look like all you need
270,one
271,one
272,one
273,one
274,if you wanna run away with me i know a galaxy
275,and i can take you for a ride
276,i had a premonition that we fell into a rhythm
277,where the music dont stop for life
278,glitter in the sky glitter in my eyes
279,shining just the way i like
280,if youre feeling like you need a little bit of company
281,you met me at the perfect time
282,you want me i want you baby
283,my sugarboo im levitating
284,the milky way were renegading
285,yeah yeah yeah yeah yeah
286,i got you moonlight youre my starlight
287,i need you all night come on dance with me
288,im levitating
289,you moonlight youre my starlight 
290,i need you all night come on dance with me
291,im levitating
292,i believe that youre for me i feel it in our energy
293,i see us written in the stars
294,we can go wherever so lets do it now or never
295,baby nothings ever ever too far
296,glitter in the sky glitter in our eyes
297,shining just the way we are
298,i feel like were forever every time we get together
299,but whatever lets get lost on mars
300,you want me i want you baby
301,my sugarboo im levitating
302,the milky way were renegading
303,yeah yeah yeah yeah yeah
304,i got you moonlight youre my starlight
305,i need you all night come on dance with me
306,im levitating
307,you moonlight youre my starlight 
308,i need you all night come on dance with me
309,im levitating
310,you can fly away with me tonight
311,you can fly away with me tonight
312,baby let me take you for a ride
313,yeah yeah yeah yeah yeah
314,im levitating 
315,you can fly away with me tonight
316,you can fly away with me tonight
317,baby let me take you for a ride
318,yeah yeah yeah yeah yeah 
319,my love is like a rocket watch it blast off
320,and im feeling so electric dance my ass off
321,and even if i wanted to i cant stop
322,yeah yeah yeah yeah yeah
323,my love is like a rocket watch it blast off
324,and im feeling so electric dance my ass off
325,and even if i wanted to i cant stop
326,yeah yeah yeah yeah yeah
327,you want me i want you baby
328,my sugarboo im levitating
329,the milky way were renegading
330,i got you moonlight youre my starlight
331,i need you all night come on dance with me
332,im levitating 
333,you can fly away with me tonight 
334,you can fly away with me tonight
335,baby let me take you for a ride
336,yeah yeah yeah yeah yeah 
337,im levitating 
338,you can fly away with me tonight 
339,you can fly away with me tonight
340,baby let me take you for a ride
341,yeah yeah yeah yeah yeah 
342,i got you moonlight youre my starlight 
343,i need you all night come on dance with me 
344,im levitating
345,you moonlight youre my starlight 
346,i need you all night come on dance with me
347,im levitating
348,i know its hot
349,i know weve got
350,something that money cant buy
351,fighting in fits
352,biting your lip
353,loving til late in the night
354,tell me im too crazy
355,you cant tame me cant tame me
356,tell me i have changed
357,but im the same me old same me
358,inside
359,hey 
360,if you dont like the way i talk then why am i on your mind 
361,if you dont like the way i rock then finish your glass of wine
362,we fight and we argue youll still love me blind
363,if we dont fuck this whole thing up
364,guaranteed i can blow your mind
365,mwah 
366,and tonight im alive aint no dollar sign
367,guaranteed i can blow your mind mwah
368,and tonight im alive aint no dollar sign
369,guaranteed i can blow your mind mwah
370,yeah im so bad
371,best that youve had
372,i guess youre diggin the show
373,open the door
374,you want some more
375,when you wanna leave let me know
376,tell me im too crazy
377,you cant tame me cant tame me
378,tell me i have changed
379,but im the same me old same me
380,inside
381,hey 
382,if you dont like the way i talk then why am i on your mind 
383,if you dont like the way i rock then finish your glass of wine
384,we fight and we argue youll still love me blind
385,if we dont fuck this whole thing up
386,guaranteed i can blow your mind
387,mwah 
388,and tonight im alive aint no dollar sign
389,guaranteed i can blow your mind mwah
390,and tonight im alive aint no dollar sign
391,guaranteed i can blow your mind mwah
392,and tonight im alive aint no dollar sign
393,guaranteed i can blow your mind mwah hey 
394,and tonight im alive aint no dollar sign
395,guaranteed i can blow your mind hey 
396,tell me im too crazy
397,you cant tame me cant tame me
398,tell me i have changed
399,but im the same me old same me
400,inside
401,hey 
402,mwah 
403,if you dont like the way i talk then why am i on your mind 
404,if you dont like the way i rock then finish your glass of wine
405,we fight and we argue youll still love me blind
406,if we dont fuck this whole thing up
407,guaranteed i can blow your mind
408,mwah 
409,and tonight im alive aint no dollar sign
410,guaranteed i can blow your mind mwah
411,and tonight im alive aint no dollar sign
412,guaranteed i can blow your mind mwah
413,ive always been the one to say the first goodbye
414,had to love and lose a hundred million times
415,had to get it wrong to know just what i like
416,now im falling
417,you say my name like i have never heard before
418,im indecisive but this time i know for sure
419,i hope im not the only one that feels it all
420,are you falling 
421,centre of attention
422,you know you can get whatever you want from me
423,whenever you want it baby
424,its you in my reflection
425,im afraid of all the things it could do to me
426,if i wouldve known it baby
427,i wouldve stayed at home
428,cause i was doing better alone
429,but when you said hello
430,i knew that was the end of it all
431,i shouldve stayed at home
432,cause now there aint no letting you go
433,am i falling in love with the one that could break my heart 
434,oh no i was doing better alone
435,but when you said hello
436,i knew that was the end of it all
437,i shouldve stayed at home
438,cause now there aint no letting you go
439,am i falling in love with the one that could break my heart 
440,i wonder when you go if i stay on your mind
441,two can play that game but you win me every time
442,everyone before you was a waste of time
443,yeah you got me
444,centre of attention
445,you know you can get whatever you want from me
446,whenever you want it baby
447,its you in my reflection
448,im afraid of all the things it could do to me
449,if i wouldve known it baby
450,i wouldve stayed at home
451,cause i was doing better alone
452,but when you said hello
453,i knew that was the end of it all
454,i shouldve stayed at home 
455,cause now there aint no letting you go
456,am i falling in love with the one that could break my heart 
457,oh no i was doing better alone
458,but when you said hello
459,i knew that was the end of it all
460,i shouldve stayed at home
461,cause now there aint no letting you go
462,am i falling in love with the one that could break my heart 
463,ooh break my heart
464,ooh break my heart
465,ooh
466,am i falling in love with the one that could break my heart 
467,i wouldve stayed at home
468,cause i was doing better alone
469,but when you said hello
470,i knew that was the end of it all
471,i shouldve stayed at home 
472,cause now there aint no letting you go
473,am i falling in love with the one that could break my heart 
474,oh no i was doing better alone
475,but when you said hello
476,i knew that was the end of it all
477,i shouldve stayed at home
478,cause now there aint no letting you go
479,am i falling in love with the one that could break my heart 
480,we havent talked all morning
481,bang my head bang my head against the wall
482,im scared im falling
483,losing all losing all my control
484,and im tired of talking
485,feel myself saying the same old things
486,but this loves important
487,dont wanna lose dont wanna lose you this way
488,i i i i i i i i i i
489,feel like we about to break up
490,i i i i i i i i i i
491,just wanna kiss and make up one last time
492,touch me like you touch nobody
493,put your hands all up on me
494,tired of hearing sorry
495,kiss and make kiss kiss and make up
496,how about we leave this party 
497,cause all i want is you up on me
498,tired of hearing sorry
499,kiss and make kiss kiss and make up
500,kiss kiss and make up
501,kiss and make kiss kiss and make up
502,kiss kiss and make up
503,kiss and make kiss kiss and make up
504,아직 너를
505,못 떠나고 뭘 하고 있는 건지
506,언젠가는 다 끝날 걸
507,떠날 걸 알지만
508,고장 난 우릴
509,다시 고쳐 볼 수는 없을지
510,아무런 말도 넌 하지 마
511,마지막은 없어
512,i i i i i i i i i i
513,feel like we about to break up
514,i i i i i i i i i i
515,just wanna kiss and make up one last time
516,touch me like you touch nobody
517,put your hands all up on me
518,tired of hearing sorry
519,kiss and make kiss kiss and make up
520,how about we leave this party 
521,cause all i want is you up on me
522,tired of hearing sorry
523,kiss and make kiss kiss and make up
524,kiss kiss and make up
525,kiss and make kiss kiss and make up
526,kiss kiss and make up
527,kiss and make kiss kiss and make up
528,그게 뭐가 되었건 다 필요 없어 너면 됐어
529,so tell me can we work this whole thing out 
530,work this whole thing out
531,날 첨 만났던 설레던 순간 그때처럼
532,so tell me can we work this whole thing out 
533,work this whole thing out
534,kiss kiss and make up
535,touch me like you touch nobody
536,put your hands all up on me
537,tired of hearing sorry
538,kiss and make kiss kiss and make up
539,how about we leave this party 
540,cause all i want is you up on me
541,tired of hearing sorry
542,kiss and make kiss kiss and make up
543,kiss kiss and make up
544,kiss and make kiss kiss and make up
545,kiss kiss and make up
546,kiss and make kiss kiss and make up
547,kiss kiss and make up
548,kiss and make kiss kiss and make up
549,kiss kiss and make up
550,kiss and make kiss kiss and make up
551,i see the moon i see the moon i see the moon
552,oh when youre looking at the sun
553,im not a fool im not a fool not a fool
554,no youre not fooling anyone
555,oh but when youre gone
556,when youre gone when youre gone
557,oh baby all the lights go out
558,thinking oh that baby i was wrong
559,i was wrong i was wrong
560,come back to me baby we can work this out
561,oh baby come on let me get to know you
562,just another chance so that i can show
563,that i wont let you down and run
564,no i wont let you down and run
565,cause i could be the one
566,i could be the one
567,i could be the one
568,i could be the one
569,i see in blue i see in blue i see in blue
570,oh when you see everything in red
571,there is nothing that i wouldnt do for you
572,do for you do for you
573,oh cause you got inside my head
574,oh but when youre gone
575,when youre gone when youre gone
576,oh baby all the lights go out
577,thinking oh that baby i was wrong
578,i was wrong i was wrong
579,come back to me baby we can work this out
580,oh baby come on let me get to know you
581,just another chance so that i can show
582,that i wont let you down and run
583,no i wont let you down and run
584,cause i could be the one
585,i could be the one
586,i could be the one
587,be the one be the one be the one
588,be the one be the one be the one
589,i could be the one
590,be the one be the one be the one
591,be the one be the one be the one
592,i could be the one
593,be the one be the one be the one
594,be the one be the one be the one
595,i could be the one
596,be the one be the one be the one
597,be the one be the one be the one
598,will you be mine 
599,oh baby come on let me get to know you
600,just another chance so that i can show
601,that i wont let you down and run
602,no i wont let you down and run
603,cause i could be the one
604,i could be the one
605,i could be the one
606,falling into you baby
607,even electricity cant compare to what i feel
608,when i m with you
609,ooh baby
610,giving up my ghost for you
611,and now im see through
612,you give me a feeling feeling so strong
613,i know youve been treating treating yourself wrong
614,so let me care for you
615,ooh baby
616,i ma love you differently
617,ill give you electricity
618,give it to you
619,and even if i could
620,i wouldnt turn on you
621,and i would stop the world for you you know
622,i wanna let you know ill never let this feeling go
623,this love has no ceiling i cannot deny
624,even if i could
625,i wouldnt turn on you
626,and i would stop the world for you and i
627,i wanna let you know ill never let this feeling go
628,this love has no ceiling i cannot deny
629,all i see is you lately
630,wide awake and in my dreams
631,i see your face so vividly
632,i dont know what id do
633,ooh baby
634,if you only saw a friend in me
635,i d be bittersweet
636,you give me a feeling feeling so strong
637,i know you ve been treating treating yourself wrong
638,so let me care for you
639,ooh baby
640,ima love you differently
641,i ll give you electricity
642,give it to you
643,and even if i could
644,i wouldnt turn on you
645,and i would stop the world for you you know
646,i wanna let you know ill never let this feeling go
647,this love has no ceiling i cannot deny
648,even if i could
649,i wouldnt turn on you
650,and i would stop the world for you and i
651,i wanna let you know i ll never let this feeling go
652,this love has no ceiling i cannot deny
653,i feel electric baby
654,so electric baby
655,wanna let you know let you know ooh
656,i think im ready baby
657,i think im ready now
658,electricity im flowing in to you
659,i feel electric baby 
660,so electric baby 
661,wanna let you know let you know 
662,i think im ready baby 
663,i think im ready now 
664,electricity im flowing in to you 
665,and even if i could
666,i wouldnt turn on you
667,and i would stop the world for you you know
668,i wanna let you know ill never let this feeling go
669,this love has no ceiling i cannot deny
670,even if i could
671,i wouldnt turn on you
672,and i would stop the world for you and i
673,i wanna let you know ill never let this feeling go
674,this love has no ceiling i cannot deny
675,i feel electric baby
676,so electric baby
677,wanna let you know let you know
678,i think im ready baby
679,i think im ready now
680,electricity 
