,Song_Lyrics,Happy,Angry,Surprise,Sad,Fear
0,one one one one one talkin in my sleep at night makin myself crazy wrote it down and read it out hopin it would save me my love he makes me feel like nobody else nobody else but my love he doesnt love me so i tell myself i tell myself one dont pick up the phone you know hes only callin cause hes drunk and alone two dont let him in youll have to kick him out again three dont be his friend you know youre gonna wake up in his bed in the morning and if youre under him you aint gettin over him i got new rules i count em i got new rules i count em i gotta tell them to myself i got new rules i count em i gotta tell them to myself i keep pushin forwards but he keeps pullin me backwards now im standin back from it i finally see the pattern but my love he doesnt love me so i tell myself i tell myself i do i do i do one dont pick up the phone you know hes only callin cause hes drunk and alone two dont let him in youll have to kick him out again three dont be his friend you know youre gonna wake up in his bed in the morning and if youre under him you aint gettin over him i got new rules i count em i got new rules i count em i gotta tell them to myself i got new rules i count em i gotta tell them to myself practice makes perfect im still tryna learn it by heart eat sleep and breathe it rehearse and repeat it cause i one dont pick up the phone you know hes only callin cause hes drunk and alone two dont let him in youll have to kick him out again three dont be his friend you know youre gonna wake up in his bed in the morning and if youre under him you aint gettin over him i got new rules i count em i got new rules i count em i gotta tell them to myself i got new rules i count em i gotta tell them to myself dont let him in dont let him in dont dont dont dont dont be his friend dont be his friend dont dont dont dont dont let him in dont let him in dont dont dont dont dont be his friend dont be his friend dont dont dont dont youre gettin over him,0.29,0.0,0.07,0.1,0.54
1,it was great at the very start hands on each other couldnt stand to be far apart closer the better now were picking fights and slamming doors magnifying all our flaws and i wonder why wonder what for why we keep coming back for more is it just our bodies are we both losing our minds is the only reason youre holding me tonight cause were scared to be lonely do we need somebody just to feel like were alright is the only reason youre holding me tonight cause were scared to be lonely too much time losing track of us where was the real undefined spiraling out of touch forgot how it feels all the messed up fights and slamming doors magnifying all our flaws and i wonder why wonder what for its like we keep coming back for more is it just our bodies are we both losing our minds is the only reason youre holding me tonight cause were scared to be lonely do we need somebody just to feel like were alright is the only reason youre holding me tonight cause were scared to be lonely scared to be lonely ooh ooh ooh even when we know its wrong and somebody better for us all along tell me how can we keep holding on holding on tonight cause were scared to be lonely even when we know its wrong and somebody better for us all along tell me how can we keep holding on holding on tonight cause were scared to be lonely is it just our bodies are we both losing our minds is the only reason youre holding me tonight cause were scared to be lonely scared to be lonely scared to be lonely ooh ooh eh eh scared to be lonely,0.02,0.04,0.26,0.66,0.02
2,if you dont wanna see me did a full one eighty crazy thinking bout the way i was did the heartbreak change me maybe but look at where i ended up im all good already so moved on its scary im not where you left me at all so if you dont wanna see me dancing with somebody if you wanna believe that anything could stop me dont show up dont come out dont start caring about me now walk away you know how dont start caring about me now arent you the guy who tried to hurt me with the word goodbye though it took some time to survive you im better on the other side im all good already so moved on its scary im not where you left me at all so if you dont wanna see me dancing with somebody if you wanna believe that anything could stop me dont show up dont come out dont start caring about me now walk away you know how dont start caring about me now up up dont come out out out dont show up up up dont start now up up dont come out out im not where you left me at all so if you dont wanna see me dancing with somebody if you wanna believe that anything could stop me dont show up dont come out dont start caring about me now walk away you know how dont start caring about me now up up dont come out out out dont show up up up walk away walk away up up dont come out out out dont show up up up walk away walk away oh,0.0,0.25,0.0,0.53,0.22
3,you call me all friendly tellin me how much you miss me thats funny i guess youve heard my songs well im too busy for your business go find a girl who wants to listen cause if you think i was born yesterday you have got me wrong so i cut you off i dont need your love cause i already cried enough ive been done ive been movin on since we said goodbye i cut you off i dont need your love so you can try all you want your time is up ill tell you why you say youre sorry but its too late now so save it get gone shut up cause if you think i care about you now well boy i dont give a fuck i remember that weekend when my best friend caught you creepin you blamed it all on the alcohol so i made my decision cause you made your bed sleep in it play the victim and switch your position im through im done so i cut you off i dont need your love cause i already cried enough ive been done ive been movin on since we said goodbye i cut you off i dont need your love so you can try all you want your time is up ill tell you why you say youre sorry but its too late now so save it get gone shut up cause if you think i care about you now well boy i dont give a fuck i see you tryna get to me i see you beggin on your knees boy i dont give a fuck so stop tryna get to me tch get up off your knees cause boy i dont give a fuck about you no i dont give a damn you keep reminiscin on when you were my man but im over you now youre all in the past you talk all that sweet talk but i aint comin back cut you off i dont need your love so you can try all you want your time is up ill tell you why ill tell you why you say youre sorry but its too late now so save it get gone shut up cause if you think i care about you now well boy i dont give a fuck i see you tryna get to me i see you beggin on your knees boy i dont give a fuck so stop tryna get to me tch get up off your knees cause boy i dont give a fuck,0.31,0.07,0.07,0.29,0.27
4,one kiss is all it takes fallin in love with me possibilities i look like all you need let me take the night i love real easy and i know that youll still wanna see me on the sunday morning music real loud let me love you while the moon is still out something in you ou ou lit up heaven in me e e the feeling wont let me slee ee eep cause im lost in the way you move the way you feel one kiss is all it takes fallin in love with me possibilities i look like all you need one kiss is all it takes fallin in love with me possibilities i look like all you need one one one one i just wanna feel your skin on mine feel your eyes do the exploring passion in the message when you smile take my time something in you ou ou lit up heaven in me e e the feeling wont let me slee ee eep cause im lost in the way you move the way you feel one kiss is all it takes fallin in love with me possibilities i look like all you need one kiss is all it takes fallin in love with me possibilities i look like all you need one one one one see a wonderland in your eyes might need your company tonight something in you ou ou lit up heaven in me e e the feeling wont let me slee ee eep cause im lost in the way you move the way you feel one kiss is all it takes fallin in love with me possibilities i look like all you need one kiss is all it takes fallin in love with me possibilities i look like all you need one one one one,0.36,0.04,0.36,0.25,0.0
5,if you wanna run away with me i know a galaxy and i can take you for a ride i had a premonition that we fell into a rhythm where the music dont stop for life glitter in the sky glitter in my eyes shining just the way i like if youre feeling like you need a little bit of company you met me at the perfect time you want me i want you baby my sugarboo im levitating the milky way were renegading yeah yeah yeah yeah yeah i got you moonlight youre my starlight i need you all night come on dance with me im levitating you moonlight youre my starlight i need you all night come on dance with me im levitating i believe that youre for me i feel it in our energy i see us written in the stars we can go wherever so lets do it now or never baby nothings ever ever too far glitter in the sky glitter in our eyes shining just the way we are i feel like were forever every time we get together but whatever lets get lost on mars you want me i want you baby my sugarboo im levitating the milky way were renegading yeah yeah yeah yeah yeah i got you moonlight youre my starlight i need you all night come on dance with me im levitating you moonlight youre my starlight i need you all night come on dance with me im levitating you can fly away with me tonight you can fly away with me tonight baby let me take you for a ride yeah yeah yeah yeah yeah im levitating you can fly away with me tonight you can fly away with me tonight baby let me take you for a ride yeah yeah yeah yeah yeah my love is like a rocket watch it blast off and im feeling so electric dance my ass off and even if i wanted to i cant stop yeah yeah yeah yeah yeah my love is like a rocket watch it blast off and im feeling so electric dance my ass off and even if i wanted to i cant stop yeah yeah yeah yeah yeah you want me i want you baby my sugarboo im levitating the milky way were renegading i got you moonlight youre my starlight i need you all night come on dance with me im levitating you can fly away with me tonight you can fly away with me tonight baby let me take you for a ride yeah yeah yeah yeah yeah im levitating you can fly away with me tonight you can fly away with me tonight baby let me take you for a ride yeah yeah yeah yeah yeah i got you moonlight youre my starlight i need you all night come on dance with me im levitating you moonlight youre my starlight i need you all night come on dance with me im levitating,0.06,0.4,0.11,0.14,0.29
6,i know its hot i know weve got something that money cant buy fighting in fits biting your lip loving til late in the night tell me im too crazy you cant tame me cant tame me tell me i have changed but im the same me old same me inside hey if you dont like the way i talk then why am i on your mind if you dont like the way i rock then finish your glass of wine we fight and we argue youll still love me blind if we dont fuck this whole thing up guaranteed i can blow your mind mwah and tonight im alive aint no dollar sign guaranteed i can blow your mind mwah and tonight im alive aint no dollar sign guaranteed i can blow your mind mwah yeah im so bad best that youve had i guess youre diggin the show open the door you want some more when you wanna leave let me know tell me im too crazy you cant tame me cant tame me tell me i have changed but im the same me old same me inside hey if you dont like the way i talk then why am i on your mind if you dont like the way i rock then finish your glass of wine we fight and we argue youll still love me blind if we dont fuck this whole thing up guaranteed i can blow your mind mwah and tonight im alive aint no dollar sign guaranteed i can blow your mind mwah and tonight im alive aint no dollar sign guaranteed i can blow your mind mwah and tonight im alive aint no dollar sign guaranteed i can blow your mind mwah hey and tonight im alive aint no dollar sign guaranteed i can blow your mind hey tell me im too crazy you cant tame me cant tame me tell me i have changed but im the same me old same me inside hey mwah if you dont like the way i talk then why am i on your mind if you dont like the way i rock then finish your glass of wine we fight and we argue youll still love me blind if we dont fuck this whole thing up guaranteed i can blow your mind mwah and tonight im alive aint no dollar sign guaranteed i can blow your mind mwah and tonight im alive aint no dollar sign guaranteed i can blow your mind mwah,0.12,0.02,0.57,0.11,0.18
7,ive always been the one to say the first goodbye had to love and lose a hundred million times had to get it wrong to know just what i like now im falling you say my name like i have never heard before im indecisive but this time i know for sure i hope im not the only one that feels it all are you falling centre of attention you know you can get whatever you want from me whenever you want it baby its you in my reflection im afraid of all the things it could do to me if i wouldve known it baby i wouldve stayed at home cause i was doing better alone but when you said hello i knew that was the end of it all i shouldve stayed at home cause now there aint no letting you go am i falling in love with the one that could break my heart oh no i was doing better alone but when you said hello i knew that was the end of it all i shouldve stayed at home cause now there aint no letting you go am i falling in love with the one that could break my heart i wonder when you go if i stay on your mind two can play that game but you win me every time everyone before you was a waste of time yeah you got me centre of attention you know you can get whatever you want from me whenever you want it baby its you in my reflection im afraid of all the things it could do to me if i wouldve known it baby i wouldve stayed at home cause i was doing better alone but when you said hello i knew that was the end of it all i shouldve stayed at home cause now there aint no letting you go am i falling in love with the one that could break my heart oh no i was doing better alone but when you said hello i knew that was the end of it all i shouldve stayed at home cause now there aint no letting you go am i falling in love with the one that could break my heart ooh break my heart ooh break my heart ooh am i falling in love with the one that could break my heart i wouldve stayed at home cause i was doing better alone but when you said hello i knew that was the end of it all i shouldve stayed at home cause now there aint no letting you go am i falling in love with the one that could break my heart oh no i was doing better alone but when you said hello i knew that was the end of it all i shouldve stayed at home cause now there aint no letting you go am i falling in love with the one that could break my heart ,0.12,0.15,0.26,0.4,0.06
8,we havent talked all morning bang my head bang my head against the wall im scared im falling losing all losing all my control and im tired of talking feel myself saying the same old things but this loves important dont wanna lose dont wanna lose you this way i i i i i i i i i i feel like we about to break up i i i i i i i i i i just wanna kiss and make up one last time touch me like you touch nobody put your hands all up on me tired of hearing sorry kiss and make kiss kiss and make up how about we leave this party cause all i want is you up on me tired of hearing sorry kiss and make kiss kiss and make up kiss kiss and make up kiss and make kiss kiss and make up kiss kiss and make up kiss and make kiss kiss and make up 아직 너를 못 떠나고 뭘 하고 있는 건지 언젠가는 다 끝날 걸 떠날 걸 알지만 고장 난 우릴 다시 고쳐 볼 수는 없을지 아무런 말도 넌 하지 마 마지막은 없어 i i i i i i i i i i feel like we about to break up i i i i i i i i i i just wanna kiss and make up one last time touch me like you touch nobody put your hands all up on me tired of hearing sorry kiss and make kiss kiss and make up how about we leave this party cause all i want is you up on me tired of hearing sorry kiss and make kiss kiss and make up kiss kiss and make up kiss and make kiss kiss and make up kiss kiss and make up kiss and make kiss kiss and make up 그게 뭐가 되었건 다 필요 없어 너면 됐어 so tell me can we work this whole thing out work this whole thing out 날 첨 만났던 설레던 순간 그때처럼 so tell me can we work this whole thing out work this whole thing out kiss kiss and make up touch me like you touch nobody put your hands all up on me tired of hearing sorry kiss and make kiss kiss and make up how about we leave this party cause all i want is you up on me tired of hearing sorry kiss and make kiss kiss and make up kiss kiss and make up kiss and make kiss kiss and make up kiss kiss and make up kiss and make kiss kiss and make up kiss kiss and make up kiss and make kiss kiss and make up kiss kiss and make up kiss and make kiss kiss and make up,0.03,0.01,0.04,0.84,0.08
9,i see the moon i see the moon i see the moon oh when youre looking at the sun im not a fool im not a fool not a fool no youre not fooling anyone oh but when youre gone when youre gone when youre gone oh baby all the lights go out thinking oh that baby i was wrong i was wrong i was wrong come back to me baby we can work this out oh baby come on let me get to know you just another chance so that i can show that i wont let you down and run no i wont let you down and run cause i could be the one i could be the one i could be the one i could be the one i see in blue i see in blue i see in blue oh when you see everything in red there is nothing that i wouldnt do for you do for you do for you oh cause you got inside my head oh but when youre gone when youre gone when youre gone oh baby all the lights go out thinking oh that baby i was wrong i was wrong i was wrong come back to me baby we can work this out oh baby come on let me get to know you just another chance so that i can show that i wont let you down and run no i wont let you down and run cause i could be the one i could be the one i could be the one be the one be the one be the one be the one be the one be the one i could be the one be the one be the one be the one be the one be the one be the one i could be the one be the one be the one be the one be the one be the one be the one i could be the one be the one be the one be the one be the one be the one be the one will you be mine oh baby come on let me get to know you just another chance so that i can show that i wont let you down and run no i wont let you down and run cause i could be the one i could be the one i could be the one,0.0,0.1,0.0,0.3,0.6
